id,nama_cctv,wilayah,playlist_group,jenis_view,latitude,longitude,youtube_watch_url,youtube_embed_url,youtube_nocookie_embed_url,official_cctv_portal,status_verifikasi,catatan_integrasi_web
1,SIMPANG JOKTENG WETAN (PTZ),Kota Yogyakarta,PERSIMPANGAN & RUAS JALAN,PTZ,-7.811950,110.371820,https://www.youtube.com/watch?v=qEhhUPsW_9o,https://www.youtube.com/embed/qEhhUPsW_9o?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/qEhhUPsW_9o?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
2,SIMPANG JOKTENG WETAN V. TIMUR,Kota Yogyakarta,PERSIMPANGAN & RUAS JALAN,Fixed view,-7.812120,110.372220,https://www.youtube.com/watch?v=J9Fo-PvJf9s,https://www.youtube.com/embed/J9Fo-PvJf9s?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/J9Fo-PvJf9s?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
3,SIMPANG TUGU,Kota Yogyakarta,TUGU - MARGO UTOMO,Fixed/live,-7.782910,110.367080,https://www.youtube.com/watch?v=1v52cQ1qJBA,https://www.youtube.com/embed/1v52cQ1qJBA?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/1v52cQ1qJBA?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
4,NOL KM - UTARA,Kota Yogyakarta,MALIOBORO - MARGO MULYO - NOL KM,Fixed/live,-7.800520,110.364620,https://www.youtube.com/watch?v=2JALoTxu2Qs,https://www.youtube.com/embed/2JALoTxu2Qs?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/2JALoTxu2Qs?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
5,NOL KM (PTZ),Kota Yogyakarta,MALIOBORO - MARGO MULYO - NOL KM,PTZ,-7.801240,110.364750,https://www.youtube.com/watch?v=sgBbOtUz-5Y,https://www.youtube.com/embed/sgBbOtUz-5Y?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/sgBbOtUz-5Y?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
6,NOL KM - GEDUNG AGUNG,Kota Yogyakarta,MALIOBORO - MARGO MULYO - NOL KM,Fixed/live,-7.801510,110.364300,https://www.youtube.com/watch?v=CQkuOV-u_6M,https://www.youtube.com/embed/CQkuOV-u_6M?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/CQkuOV-u_6M?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
7,SIMPANG BALAIKOTA V. UTARA-BARAT,Kota Yogyakarta,BALAIKOTA KOTA YOGYAKARTA,Fixed view,-7.798020,110.390060,https://www.youtube.com/watch?v=Mxgb5IVIu6Y,https://www.youtube.com/embed/Mxgb5IVIu6Y?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/Mxgb5IVIu6Y?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
8,SIMPANG WIROBRAJAN (PTZ),Kota Yogyakarta,PERSIMPANGAN & RUAS JALAN,PTZ,-7.801420,110.351450,https://www.youtube.com/watch?v=s89E9cfuNTY,https://www.youtube.com/embed/s89E9cfuNTY?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/s89E9cfuNTY?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
9,SIMPANG GRAMEDIA V. UTARA-TIMUR,Kota Yogyakarta,PERSIMPANGAN & RUAS JALAN,Fixed view,-7.782880,110.379620,https://www.youtube.com/watch?v=5GttLjBWhG0,https://www.youtube.com/embed/5GttLjBWhG0?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/5GttLjBWhG0?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
10,SIMPANG GRAMEDIA (PTZ),Kota Yogyakarta,PERSIMPANGAN & RUAS JALAN,PTZ,-7.782720,110.379260,https://www.youtube.com/watch?v=7yzvYUhGdYI,https://www.youtube.com/embed/7yzvYUhGdYI?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/7yzvYUhGdYI?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
11,SIMPANG GRAMEDIA V. TIMUR,Kota Yogyakarta,PERSIMPANGAN & RUAS JALAN,Fixed view,-7.782790,110.379850,https://www.youtube.com/watch?v=30rLCWTexGQ,https://www.youtube.com/embed/30rLCWTexGQ?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/30rLCWTexGQ?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
12,SIMPANG MELIA PUROSANI (PTZ),Kota Yogyakarta,MALIOBORO - MARGO MULYO - NOL KM,PTZ,-7.793240,110.367880,https://www.youtube.com/watch?v=Nx6azd-yDwY,https://www.youtube.com/embed/Nx6azd-yDwY?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/Nx6azd-yDwY?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
13,SIMPANG MENTERI SUPENO V. TIMUR,Kota Yogyakarta,PERSIMPANGAN & RUAS JALAN,Fixed view,-7.813050,110.376760,https://www.youtube.com/watch?v=f6c8pZs7MEo,https://www.youtube.com/embed/f6c8pZs7MEo?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/f6c8pZs7MEo?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
14,DEPAN DPRD V. UTARA,Kota Yogyakarta,DEPAN DPRD KOTA YOGYAKARTA,Fixed view,-7.797420,110.389420,https://www.youtube.com/watch?v=M2WCSslgktk,https://www.youtube.com/embed/M2WCSslgktk?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/M2WCSslgktk?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
15,KOTABARU - JL. YOS SUDARSO,Kota Yogyakarta,KOTABARU,Fixed/live,-7.785900,110.372040,https://www.youtube.com/watch?v=Vtjx4zDyCKc,https://www.youtube.com/embed/Vtjx4zDyCKc?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/Vtjx4zDyCKc?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
16,KOTABARU - JL. SAJIONO,Kota Yogyakarta,KOTABARU,Fixed/live,-7.784540,110.374020,https://www.youtube.com/watch?v=5pc2HTprmoU,https://www.youtube.com/embed/5pc2HTprmoU?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/5pc2HTprmoU?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
17,KOTABARU - JL. WARDHANI,Kota Yogyakarta,KOTABARU,Fixed/live,-7.785320,110.373250,https://www.youtube.com/watch?v=lkRDr0aYY1A,https://www.youtube.com/embed/lkRDr0aYY1A?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/lkRDr0aYY1A?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
18,MARGO UTOMO - OPTIC TUGU,Kota Yogyakarta,TUGU - MARGO UTOMO,Fixed/live,-7.784050,110.367210,https://www.youtube.com/watch?v=kDmidwbHQt0,https://www.youtube.com/embed/kDmidwbHQt0?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/kDmidwbHQt0?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
19,JL. MAS SUHARTO V. SELATAN,Kota Yogyakarta,PERSIMPANGAN & RUAS JALAN,Fixed view,-7.790500,110.371060,https://www.youtube.com/watch?v=rCtTBIKCcfA,https://www.youtube.com/embed/rCtTBIKCcfA?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/rCtTBIKCcfA?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
20,SIMPANG GALERIA (PTZ),Kota Yogyakarta,PERSIMPANGAN & RUAS JALAN,PTZ,-7.782150,110.379920,https://www.youtube.com/watch?v=BS_K1jT3mtY,https://www.youtube.com/embed/BS_K1jT3mtY?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/BS_K1jT3mtY?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
21,SIMPANG BOROBUDUR PLAZA V. UTARA,Kota Yogyakarta,PERSIMPANGAN & RUAS JALAN,Fixed view,-7.775850,110.361330,https://www.youtube.com/watch?v=BtR8AQH_Zi8,https://www.youtube.com/embed/BtR8AQH_Zi8?autoplay=1&mute=1&playsinline=1,https://www.youtube-nocookie.com/embed/BtR8AQH_Zi8?autoplay=1&mute=1&playsinline=1,https://cctv.jogjakota.go.id/,koordinat_perkiraan,Koordinat dibuat agar live CCTV Pemkot dapat tampil di batas Kota Yogyakarta.
